description,fraudulent
"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.We are looking for a Lead Mechanical Engineer to join our team in Houston, Texas.The Lead Mechanical Engineer will be responsible for providing expertise and technical leadership to the organization.Responsibilities and tasksâ€¢ Performs mechanical calculations and technical analysis on various custom components and reviews mechanical design of equipment to ensure that specifications are met;â€¢ Prepares and presents complex technical reports, equipment data sheets, MRQâ€™s, TBEâ€™s and MRPâ€™s, and makes recommendations on critical engineering issues;â€¢ Work with certifying agencies for product development and follows through with ABSA registrations;â€¢ Leads and reviews project design decisions, budgets, and scheduling;â€¢ Identifies solutions to achieve company objectives and ensure that the team is aligned.â€¢ Interfaces directly with the customer and participates in preparing bids and proposals;â€¢ Ensure processes are followed correctly and continuously identifies opportunities to improve efficiencies;â€¢ Ensure team members are kept current on procedure QMS changes;â€¢ Provides leadership, technical guidance and mentor-ship to other engineers.",1
"Director of Strategy | San Mateo, CAÂ Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized? Â Backed by investors such as Battery Ventures and Intel Capital?Â DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function. Â  It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues. Â  Â It will be an extremely visible role in the company and work across the entire organization. Â  This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff. Â  Â Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested. Â  Â Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies;Â ",1
"Qualified candidates are encouraged to apply directly to this job posting. Â Direct email and phone calls are not being considered. Thank you for your cooperation. Â Please no recruiters. Â UST Testing Technician IIÂ Bakersfield, CAÂ Local PetroleumÂ Company operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment.Â RESPONSIBILITIESThe ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, UST systems, weights and measures compliance, and computer applications. Certifications with Gilbarco, Ruby, Sapphire, and VeederRoot Tank Gauging preferred.Schedule testing with local agencies.Â ",1
"Director of Strategy | San Mateo, CAÂ Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized? Â Backed by investors such as Battery Ventures and Intel Capital?Â DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function. Â  It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues. Â  Â It will be an extremely visible role in the company and work across the entire organization. Â  This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff. Â  Â Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested. Â  Â Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies;Â ",1
"Health &amp; Safety Professional | Bakersfield, CAThis position monitors, analyzes, recommends, and implements systems to improve integration of safety compliance and business success through interactions at the employee and supervisor levels. This position is part of the HSE team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the safety specialty.Work Environment;This position works primarily in a field environment supporting operations, drilling, production, and construction. The working conditions for this position vary and maybe hazardous and or unpleasant at times. The individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors. The person that fills this position must have a core belief that safetyâ€™s and productionâ€™s success are linked.",1
"Â Â Â UST Testing Technician IIÂ Bakersfield, CAÂ Local PetroleumÂ Company operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment.Â Responsibilities:The ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, UST systems, weights and measures compliance, and computer applications. Certifications with Gilbarco, Ruby, Sapphire, and Veeder Root Tank Gauging preferred.Schedule testing with local agencies.Â ",1
"We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables.",1
"Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nationâ€™s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS- Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- Maintain complete equipment files, logs, and drawings for all designated equipment.- Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.- Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.- Maintain all plant instrumentation and electrical test equipment.- Fully support and participate in NAES Safety and Regulatory Compliance Programs.- Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:- The planning and review of the preventative, predictive and pro-active type maintenance.- A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.- Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.",1
"Essential Duties and Responsibilities:* Assist in developing the engineering cost estimate per Job Definition Document.* Develop the project schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Understand standard project deliverables such as: Process Flow Diagram,â€¯PID, Area classification drawing, electrical one-line drawing, etc., and major tasks involved in generating each deliverable.* Assist in developing the project execution plan.* Interface with the client and develop rapport.* Monitor and track project budget and schedule.* Perform budget and schedule variance analysis at set intervals during the project execution phase to help project leads and clients track the project progress. Investigate project cost and schedule variances.* Effective communication skills - with the client and interdiscipline personnel within the company.* Perform earned man-hours calculations to estimate the real progress of the project.* Follow and implement standard project procedures per Project Procedure Manual.* Soft skills to interact with multidiscipline technical staff and promote team spirit to execute the project successfully.* Generate project reports, weekly work plans, etc.* Generate Design change orders for applicability to cost and schedule control, both with respect to original scope and fees.* Assist in project closeout with project leads.",1
"Interface with customers via inbound or outbound calls or the Internet for the purpose of resolving routine problems with products or services.Greet customers in a courteous, friendly, and professional manner using agreed upon procedures.Listen attentively to customer needs and concerns; demonstrate empathyClarify customer requirements; probe for and confirm understanding of requirements or problemMeet customer requirements through first contact resolutionConfirm customer understanding of the solution and provide additional customer education as neededPrepare complete and accurate work and update customer fileCommunicate effectively with individuals/teams in the program to ensure high quality and timely expedition of customer requestsEffectively transfer misdirected customer requests to an appropriate party. Contribute ideas on ways to resolve problems to better serve the customer and/or improve productivityParticipate in activities designed to improve customer satisfaction and business performanceOccasionally use decision-support tools to answer questionsSolve problems that are sometimes unstructured and that may require reliance on conceptual thinkingOffer solutions to issues that are often non-standard/non-routine and require some clarificationMaintain broad knowledge of client products and services",1
"AccionÂ  is currently seeking a professional individual enthusiastic about customer service and fashion. We are looking for someone focused on creating an exceptional customer service and shopping experience for our Accion customer.Â Â Â  Responsibilities:Welcome and greet customers, modeling a positive customer service spirit, exhibiting a friendly and helpful attitude with customers and associates.Answer customer questions regarding products and services; assist customers with buying decisions.Operate cash registers to complete customer transactions.Display merchandise and maintain a clean shopping area to maximize store appeal.Assist in the receiving and of new merchandise from vendors.Prepare merchandise for the selling floor.Assist in minimizing loss of company assets.Contribute to team efforts.Â Â ",1
"Responsible for all food production including that used for restaurants, banquet functions and other outlets. Develop menus, food purchase specifications and recipes. Supervise staff. Develop and monitorfood and labor budget for the department. Maintain highest professional food quality and sanitation standards.Â Duties &amp; Responsibilities:Â  Â  * Plans menus for all food outlets in the Hotel.Â  Â  * Schedules and coordinates the work of chefs, cooks and other kitchen employees to assure that food preparationis economical and technically correct and within budgeted labor cost goals.Â  Â  * Approves the requisition of products and other necessary food supplies.Â  Â  * Ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times.Â  Â  * Establishes controls to minimize food and supply waste and theft.Â  Â  * Safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples.Â  Â  * Develops standard recipes and techniques for food preparation and presentation which help to assure consistently high quality and to minimize food costs; exercises portion control for all items served and assists in establishing menu selling prices.Â  Â  * Prepares necessary data for applicable parts of the budget; projects annual food, labor and other costs and monitors actual financial results; takes corrective action as necessary to help assure that financial goals are met.Â  Â  * Attends food and beverage staff and management meetings.Â  Â  * Consults with the Food &amp; Beverage Director about food production aspects of special events being planned.Â  Â  * Cooks or directly supervises the cooking of items that require skillfulpreparation.Â  Â  * Ensures proper staffing for maximum productivity and high standards of quality; controls food and payroll costs to achieve maximum profitability.Â  Â  * Evaluates food products to assure that quality standards are consistently attained.Â  Â  * Interacts with food and beverage ma nagement to assure that food production consistently exceeds the expectations of members and guests.Â  Â  * In conjunction with F&amp;B management team, assist in maintaining a high level of service principles in accordance with established standards.Â ",1
Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â Â ,1
"Responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotels continuing effort to deliver outstanding guest service and financial profitability.As Executive Sous Chef, you would be responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotel's continuing effort to deliver outstanding guest service and financial profitability. Specifically, you would be responsible for performing the following tasks to the highest standards:Assist the Executive Chef in the direction and oversight of all culinary operations, to include, but not limited to, preparation and production of all hotel meals, food quality and presentation, compliance with all safety and sanitation standards and regulation, team member productivity and performance, implementation of policies and procedures, cost controls and overall profitabilityAssist the Executive Chef by interacting with guests and clients to monitor and assess satisfaction trends, evaluate and address issues and make improvements accordinglyAssist the Executive Chef in creating and implementing menu selections for special banquet themes and events based on current food trends and regional tastes in partnership with the Executive Chef and Director of Food and Beverage, as neededEnsure compliance with federal, state, local and company health, safety, sanitation and alcohol awareness standardsMonitor and develop team member performance to include, but not limited to, providing supervision, conducting counseling and assisting with evaluations, training, scheduling and assigning work and delivering recognition and reward",1
"As an Administrative AssistantÂ  you will be responsible for a wide variety of interesting and challenging duties. This is a great opportunity to work closely with a group of successful entrepreneurs and execute your administrative support and project management skills.Position Responsibilities*Manage incoming and outgoing communication such as phone calls, emails, and daily correspondence*Manage multiple calendars with complex scheduling that require consistent attention to detail and follow-through*Work with Word, Excel, Outlook, Visio, and SharePoint*Research, plan and arrange events, social engagements and travel itineraries*Process invoices, recurring bills and expense reconciliationPosition Requirements*Administrative experience supporting high level executives in a fast paced environment*Excellent administrative and organization skills*Excellent verbal and written communication skills*Strong competency in Word, Excel and OutlookStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth OpportunitiesWe are looking for a motivated, dependable and enthusiastic person to join our team. Responsibilities (include but not limited to)*Incoming mail*Filing*Data Entry*Market research*Scanning*Prepare and send correspondence*Be able to assist office on all levels as neededQualifications:*Computer Skills, MS office proficient (word, excel)*Clear and effective communication skills, written skills required*Excellent organizational skills*Team Player*Motived and self starter*Friendly and positive attitude*Ability to coordinate multiple tasks*Problem Solving Skills*Good phone skillsStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities",1
"Administrative AssistantEssential Job Responsibilities:Answering and routing telephone calls to appropriate peopleScheduling appointmentsMaintain paper and electronic filing systems for records and messagesLimited courier responsibilitiesPerform any additional duties as assigned or requestedRequired Qualifications:At least two years of experience and knowledge to perform essential job functions assignedAble to work in a fast-pace environment and be able to multi-taskExcellent communication skills and computer knowledge (QuickBooks a plus)Well organized, highly dependable, and efficientMust have problem solving skills and be detailed orientedMaintain respect at all times for confidential informationStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities",1
"Administrative AssistantEssential Job Responsibilities:Answering and routing telephone calls to appropriate peopleScheduling appointmentsMaintain paper and electronic filing systems for records and messagesLimited courier responsibilitiesPerform any additional duties as assigned or requestedRequired Qualifications:At least two years of experience and knowledge to perform essential job functions assignedAble to work in a fast-pace environment and be able to multi-taskExcellent communication skills and computer knowledge (QuickBooks a plus)Well organized, highly dependable, and efficientMust have problem solving skills and be detailed orientedMaintain respect at all times for confidential informationStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities",1
"Position:Â  Big Data EngineerLocation: San Francisco, CADuration:Â  6+ months CTHÂ Skills:BIHadoop-Java MapReduce-RDBMS-Job Description:Senior Business Intelligence engineer for Advanced Analytics overall theme. Guide and move forward an advanced system providing sophisticated and measurable business benefits.This person will work closely with our business analysts, as well as internal business users to understand their key business drivers and data needs, and scope out scalable and suitable solutions that will help our customers with their information needed for planning, analysis, and decision-making.",1
